keyword	patent	title	sentence	section
advertisement				
	WO2014005022A1	Individualizing generic communications	[0055] In embodiments of the present invention, the communication is an ADVERTISEMENT or a public service communication.	[0055] In embodiments of the present invention, the communication is an advertisement or a public service communication. In a further embodiment, the communicator receives a reply from the individual in response to the communication. 
	US9189886	Method and apparatus for estimating body shape	 Such attributes might be items for sale, information about preferred clothing sizes, images, textual information or ADVERTISEMENTs.	Finally, a means for body shape matching takes a body produced from some measurements (tailoring measures, images, range sensor data) and returns one or more “scores” indicating how similar it is in shape to another body or database of bodies. This matching means is used to rank body shape similarity to, for example, reorder a display of attributes associated with a database of bodies. Such attributes might be items for sale, information about preferred clothing sizes, images, textual information or advertisements. The display of these attributes presented to a user may be ordered so that the presented items are those corresponding to people with bodies most similar to theirs. The matching and ranking means can be used to make selective recommendations based on similar body shapes. The attributes (e.g. clothing size preference) of people with similar body shapes can be aggregated to recommend attributes to a user in a form of body-shape-sensitive collaborative filtering.
	US10534808	Architecture for responding to visual query	 Similarly, if a scan of a magazine was used as the visual query, the interactive results document may include visual identifiers for photographs or trademarks in ADVERTISEMENTs on the page as well as a visual identifier for the text of an article also on that page.	In some embodiments, the interactive results document produced in response to a visual query can include a plurality of links that correspond to results from the same search system. For example, a visual query may be an image or picture of a group of people. The interactive results document may include bounding boxes around each person, which when activated returns results from the facial recognition search system for each face in the group. For some visual queries, a plurality of links in the interactive results document corresponds to search results from more than one search system (310). For example, if a picture of a person and a dog was submitted as the visual query, bounding boxes in the interactive results document may outline the person and the dog separately. When the person (in the interactive results document) is selected, search results from the facial recognition search system are returned, and when the dog (in the interactive results document) is selected, results from the image-to-terms search system are returned. For some visual queries, the interactive results document contains an OCR result and an image match result (312). For example, if a picture of a person standing next to a sign were submitted as a visual query, the interactive results document may include visual identifiers for the person and for the text in the sign. Similarly, if a scan of a magazine was used as the visual query, the interactive results document may include visual identifiers for photographs or trademarks in advertisements on the page as well as a visual identifier for the text of an article also on that page.
	US9467750	Placing unobtrusive overlays in video content	Given the broad distribution of such video content and growing proliferation of viewing and playback devices for viewing such video content, providers and distributors of video content often employ video-advertising techniques to insert ADVERTISEMENTs into video content.	Given the broad distribution of such video content and growing proliferation of viewing and playback devices for viewing such video content, providers and distributors of video content often employ video-advertising techniques to insert advertisements into video content.
	US8189957	View projection for dynamic configurations	 For example, the moving object could be an ADVERTISEMENT display, and the transformed image pI could provide additional information related to the ADVERTISEMENT display.	This method would be particularly useful for advisement purposes. For example, the moving object could be an advertisement display, and the transformed image pI could provide additional information related to the advertisement display.
airport				
	US9363489	Video analytics configuration	 The network may simply comprise a single video camera monitoring a portal which, for example, may be a door, a corridor, a lift, an entrance hall, an exit hall, a concourse, an AIRPORT security gate or anywhere there may be numerous individuals passing through.	Video surveillance networks comprise one or more video cameras arranged to provide surveillance of a particular geographical location. The network may simply comprise a single video camera monitoring a portal which, for example, may be a door, a corridor, a lift, an entrance hall, an exit hall, a concourse, an airport security gate or anywhere there may be numerous individuals passing through. In some cases, such as an entrance hall for a large shopping center or a departures hall of an airport, there may be thousands of people passing through in a relatively short space of time. This makes tracking individuals who may be considered to be a threat or of interest to security in such cases fraught with difficulty.
	US9483689	Biometric matching technology	 The system 300 also determines whether the context of the situation is in a crime-sensitive area or jewelry store, whether the context of the situation is in an AIRPORT or railway station, whether the context of the situation is in a public transport location, a public park, or vehicular surveillance, or whether the context of the situation is in home security or school campus security.	The system 300 references the data structure 1500 in setting the batch size. For example, the system 300 determines the context and criticality of the situation based on user input, a pre-defined setting, and/or an alert feed (e.g., a threat level alert provided by a government organization or other organization). In this example, the system 300 determines whether the criticality of the situation is very high, high, medium, or low. The system 300 also determines whether the context of the situation is in a crime-sensitive area or jewelry store, whether the context of the situation is in an airport or railway station, whether the context of the situation is in a public transport location, a public park, or vehicular surveillance, or whether the context of the situation is in home security or school campus security. Based on the determinations, the system 300 references the data structure 1500 and sets the batch size as the number of images defined by the data structure 1500. For instance, the system 300 selects fifty images based on determining that the criticality is very high and the context is in a crime-sensitive area or jewelry store, selects twenty images based on determining that the criticality is high and the context is in an airport or railway station, selects ten images based on determining that the criticality is medium and the context is in a public transport location, a public park, or vehicular surveillance, and selects five images based on determining that the criticality is low and the context is in home security or school campus security.
	US9076030	Liveness detection	While not illustrated in FIG. 4, in parallel with or after verifying that the face in the image sequence is a living face, the face is for example compared to the image of the identity document, and if there is a match, the user 102 is for example permitted to access a restricted area, for example an AIRPORT departure lounge.	While not illustrated in FIG. 4, in parallel with or after verifying that the face in the image sequence is a living face, the face is for example compared to the image of the identity document, and if there is a match, the user 102 is for example permitted to access a restricted area, for example an airport departure lounge. For example, the document checkpoint 100 of FIG. 1 may comprising an automatic barrier, that is opened only if a living face of the user 102 is found to match the registered image of the identity document.
	US10677932	Systems, methods, and devices for geo-localization	 Accordingly, small wearable devices can be used for navigating AIRPORT buildings, hospitals, malls, campus buildings, homes, or the like.	The embodiments described herein can provide seamless continuous navigation between indoor and outdoor environment. Specifically, GIS and BIM can be abstracted to map graphs that are used for navigation. The map graphs can be memory efficient. Thus, small low cost solutions can be provided by using low resolution sensors and map graphs on memory that are scaled to the size of the location being navigated. Additionally, the small solutions can be provided without requiring communication signals, i.e., internet or GPS, which can decrease power demands. Accordingly, small wearable devices can be used for navigating airport buildings, hospitals, malls, campus buildings, homes, or the like.
	WO2018193123A1	Detection system, detection device and method therefor	 More particularly, the invention relates to a system for detecting a passenger which may be used by a security agent, an airline agent, or other agent at an AIRPORT or other transportation hub such as a railway station, or bus station.	FIELD OF THE INVENTION This invention relates in general to an image processing system. More particularly, this invention relates to a system, apparatus, method or computer program for detecting an individual such as a customer or passenger, or a device for use by an agent. More particularly, the invention relates to a system for detecting a passenger which may be used by a security agent, an airline agent, or other agent at an airport or other transportation hub such as a railway station, or bus station. 
apartment				
	CN103269751B	Light therapy apparatus		
	US10867496	Methods and systems for presenting video feeds	 The present teachings are also applicable, without limitation, to duplexes, townhomes, multi-unit APARTMENT buildings, hotels, retail stores, office buildings, industrial buildings, and more generally any living space or work space.	It is to be appreciated that “smart home environments” may refer to smart environments for homes such as a single-family house, but the scope of the present teachings is not so limited. The present teachings are also applicable, without limitation, to duplexes, townhomes, multi-unit apartment buildings, hotels, retail stores, office buildings, industrial buildings, and more generally any living space or work space.
	US9672427	Systems and methods for categorizing motion events	 The present teachings are also applicable, without limitation, to duplexes, townhomes, multi-unit APARTMENT buildings, hotels, retail stores, office buildings, industrial buildings, and more generally to any living space or work space.	It is to be appreciated that “smart home environments” may refer to smart environments for homes such as a single-family house, but the scope of the present teachings is not so limited. The present teachings are also applicable, without limitation, to duplexes, townhomes, multi-unit apartment buildings, hotels, retail stores, office buildings, industrial buildings, and more generally to any living space or work space.
	US9544636	Method and system for editing event categories	 The present teachings are also applicable, without limitation, to duplexes, townhomes, multi-unit APARTMENT buildings, hotels, retail stores, office buildings, industrial buildings, and more generally any living space or work space.	It is to be appreciated that “smart home environments” may refer to smart environments for homes such as a single-family house, but the scope of the present teachings is not so limited. The present teachings are also applicable, without limitation, to duplexes, townhomes, multi-unit apartment buildings, hotels, retail stores, office buildings, industrial buildings, and more generally any living space or work space.
	US9224044	Method and system for video zone monitoring	 The present teachings are also applicable, without limitation, to duplexes, townhomes, multi-unit APARTMENT buildings, hotels, retail stores, office buildings, industrial buildings, and more generally any living space or work space.	It is to be appreciated that “smart home environments” may refer to smart environments for homes such as a single-family house, but the scope of the present teachings is not so limited. The present teachings are also applicable, without limitation, to duplexes, townhomes, multi-unit apartment buildings, hotels, retail stores, office buildings, industrial buildings, and more generally any living space or work space.
army				
	US10293485	Systems and methods for robotic path planning	 By way of illustration, the first control characteristic can correspond to a first wheel angle, first ARMY position, and/or any other control characteristic described in this disclosure.	In some cases, the actuator commands can take the form of adjusting actuators in accordance to control characteristics identified for robot 200 to travel along the first path portion. For example, robot 200 can generate an actuator command to effectuate the first control characteristic of a string of control characteristics of the first path portion (e.g., taking the control characteristic corresponding to the first arrow of trajectory 726, and/or any other trajectory, path, and/or path portion). In some cases, this first control characteristic can be the only control characteristic effectuated, wherein robot 200 then reassesses the path (e.g., finds another first path portion in accordance to method 400) after sending the actuator command comprising the first control characteristic. Advantageously, this can allow robot 200 to reassess the path after each move, giving greater potential for optimal path planning. In some cases, the first control characteristic can be a model predictive control. By way of illustration, the first control characteristic can correspond to a first wheel angle, first army position, and/or any other control characteristic described in this disclosure.
